Name	Zone1.Load1	Zone1.Load2	Zone1.Load3	Zone1.Load4	Zone1.Load5	Zone1.Load6	Zone1.Load7	Zone1.Load8	Zone1.Load9	Zone1.Load10	Zone1.Load11	Zone1.Load12	Zone1.Load13	Zone1.Load14	Zone1.Load15	Zone1.Load16	Zone1.Load17	Zone1.Load18	Zone1.Load19	Zone1.Load20	Zone1.Load21	Zone1.Load22	Zone1.Load23	Zone1.Load24	Zone1.Load25	Zone1.Load26	Zone1.Load27	Zone1.Load28
Customer Name	Group 1	Group 2	Group 3	Group 4	Group 5	Group 6	Group 7	Group 8	Group 9	Group 10	Group 11	Group 12	Group 13	Group 14	Group 15	Group 16	Group 17	Group 18	Group 19	Group 20	Group 21	Group 22	Group 23	Group 24	Group 25	Group 26	Group 27	Group 28
Microgrid Part #	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	5	5	5	5	5	5	5	4 & 6
Criticality	H	H	H	H	M/L	O	O	O	O	O	H	L	L	M	M	O	O	O	O	H/L	H	H	H	H	L	M	O	H
Feeder	15126	15119	15126	15126	15119	15126	15126	15119	15126	15119	15125	15125	15125	15125	15125	15125	15125	15125	15118	15119/15125	15119	15119	15119/15125	15119	15119	15119/15125	15119/15125	15119/15125
1/1/2014 0:00:00	32.689	27.2725	96.448	11.592	19.508	11.2855	15.073	65.612	13.4525	9.3305	217.155	23.963	37.064	10.5525	17.44	26.4855	18.1525	10.3905	7.316	1396.89235	68.844	479.205	122.5835	36.3285	12.3285	133.02	30.856	39.428
1/1/2014 1:00:00	31.2825	27.0615	96.576	11.9865	19.872	10.9975	13.8975	55.496	15.043	7.6044	206.925	15.618	38.12	10.832	16.792	26.016	19.379	9.6765	7.116	1405.54105	70.572	458.79	116.162	37.359	11.7565	131.048	21.548	37.28
1/1/2014 2:00:00	28.8105	27.9865	96.22	11.492	19.188	11.53	13.0635	60.36	13.3779	4.7594	210.855	15.255	37.976	14.8875	16.456	26.3745	20.2845	8.841	6.948	1389.67225	71.96	472.485	117.464	37.665	12.036	132.956	20.396	36.88
1/1/2014 3:00:00	30.522	28.1965	96.536	12.242	19.816	11.517	13.588	57.94	12.8565	4.1339	208.605	15.313	26.056	9.949	15.352	26.058	24.8955	9.78	7.108	1390.15655	69.448	471.09	120.784	36.6975	12.1895	132.832	20.78	35.954
1/1/2014 4:00:00	31.197	27.193	97.252	12.904	20.072	11.726	12.476	56.74	13.5168	4.3478	224.46	15.8925	32.144	12.1855	15.196	26.001	23.045	11.4105	6.524	1398.1878	69.044	484.02	122.508	36.63	11.9785	134.856	20.276	36.426
1/1/2014 5:00:00	29.019	27.3795	100.928	11.378	23.82	14.409	13.015	64.864	16.3318	4.1738	274.56	15.8175	47.428	14.282	17.028	23.6445	23.2775	10.59	7.16	1425.84905	68.612	521.235	120.6655	37.128	14.602	156.04	20.944	36.916
1/1/2014 6:00:00	32.4685	27.3395	101.792	12.4555	21.3	22.485	12.8785	73.476	19.2514	3.4261	322.98	15.6095	45.412	8.827	15.552	24.9825	26.339	9.579	7.42	1462.4849	79.456	531.105	121.254	37.7865	19.4855	148.152	20.252	40.396
1/1/2014 7:00:00	29.3625	30.6305	99.364	11.766	17.852	28.727	12.3325	73.204	16.3156	4.4482	360.9	17.9485	41.828	24.517	17.24	23.8155	28.7145	9.7965	7.936	1480.5098	76.4	523.605	122.5835	65.3115	18.725	143.96	28.092	42.14
1/1/2014 8:00:00	28.1755	23.614	93.736	11.884	12.128	28.8365	13.1905	59.276	15.3849	3.7232	357.735	37.0775	41.792	22.801	15.644	23.9865	43.5335	10.2255	12.108	1430.6095	69.448	511.17	118.808	76.965	14.346	127.288	65.94	36.678
